B(T),H(A/m)
0,0
1.00531E-05,8
2.01062E-05,16
3.01593E-05,24
4.02124E-05,32
5.02655E-05,40
6.03839E-05,48.052
7.08944E-05,56.416
8.21891E-05,65.404
9.466E-05,75.328
0.000108699,86.5
0.000126733,100.8506667
0.000159323,126.7853333
0.000219067,174.328
0.000318561,253.5026667
0.000470401,374.3333333
0.000689599,548.7653333
0.001000823,796.4293333
0.001431155,1138.877333
0.00200768,1597.661333
0.002757481,2194.333333
0.003702599,2946.434667
0.004844919,3855.464
0.006181284,4918.909333
0.007708537,6134.258667
0.009423521,7499
0.011341044,9024.916
0.013547764,10780.968
0.016148304,12850.412
0.019247287,15316.504
0.022949334,18262.5
0.027348556,21763.28933
0.032497005,25860.29467
0.03843622,30586.572
0.045207741,35975.17733
0.052853108,42059.16667
0.061412319,48870.37067
0.070919216,56435.71867
0.081406098,64780.91467
0.092905267,73931.66267
0.105449023,83913.66667
0.119216851,94869.756
0.134976972,107411.2613
0.15364479,122266.6387
0.176135709,140164.344
0.203365136,161832.8333
0.235667186,187537.988
0.271050822,215695.3907
0.306943717,244258.0493
0.340773546,271178.972
0.369967983,294411.1667
0.39358368,313203.9413
0.417193205,331991.804
0.447998103,356505.5627
0.493199919,392476.0253
0.5600002,445634
0.653440234,519991.216
0.769920275,612683.088
0.903680323,719125.952
1.048960375,834736.144
1.200000429,954930
1.840000143,1464225.59
17.84000015,14196621.04
47.84000014,38069862.5
97.84000014,77858598.27
1000,795774715.5
10000,7957747155
100000,79577471546
