B(T),H(A/m)
0,0
0.052553888,19.74079289
0.102638104,38.5601351
0.147782977,55.53657598
0.185518833,69.74866483
0.214232844,80.59599462
0.235739542,88.76233275
0.252710302,95.25249026
0.2678165,101.0712782
0.283290477,107.0596364
0.299608438,113.4030201
0.316807555,120.1230134
0.334925,127.2412005
0.353997339,134.7800968
0.374058708,142.7659438
0.395142641,151.2259141
0.417282667,160.1871807
0.440509906,169.6780888
0.464845833,179.7316745
0.49030951,190.3821462
0.51692,201.6637125
0.544690956,213.6120581
0.573614396,226.2687726
0.60367693,239.6769221
0.634865167,253.8795725
0.667156365,268.9216482
0.700490375,284.8555075
0.734797698,301.7353675
0.770008833,319.6154448
0.806041781,338.5522962
0.842764542,358.6118368
0.880032615,379.8623216
0.9177015,402.3720055
0.955615536,426.212089
0.993574417,451.4655544
1.031366672,478.2183297
1.068780833,506.5563428
1.105603992,536.5692298
1.141617479,568.3614592
1.176601185,602.0412079
1.210335,637.7166527
1.242613318,675.5006386
1.273288542,715.524684
1.302227578,757.9249754
1.329297333,802.8376993
1.354390404,850.4049194
1.377502146,900.7922073
1.398653607,954.1710117
1.417865833,1010.712781
1.435181411,1070.596364
1.450729083,1134.030201
1.46465913,1201.230134
1.477121833,1272.412005
1.488273141,1347.800968
1.498291667,1427.659438
1.507361693,1512.259141
1.5156675,1601.871807
1.523385466,1696.780889
1.530660354,1797.316746
1.537629023,1903.821462
1.544428333,2016.637124
1.551184031,2136.120579
1.557977417,2262.687724
1.564878677,2396.769218
1.571958,2538.795722
1.57927812,2689.21648
1.586871958,2848.555075
1.594764984,3017.353676
1.602982667,3196.154451
1.611546565,3385.522965
1.620462604,3586.118371
1.629732799,3798.623219
1.639359167,4023.720058
1.649340792,4262.120892
1.659665042,4514.655547
1.670316354,4782.1833
1.681279167,5065.563431
1.69253476,5365.6923
1.704051792,5683.614593
1.71579576,6020.41208
1.727732167,6377.166528
1.739824102,6755.006388
1.752025021,7155.246842
1.764285971,7579.249757
1.776558,8028.376997
1.788792552,8504.049197
1.800942667,9007.922076
1.812961781,9541.710119
1.824803333,10107.12781
1.836425089,10705.96364
1.847802125,11340.30201
1.858913849,12012.30134
1.869739667,12724.12005
1.88026519,13478.00968
1.890500854,14276.59438
1.900463299,15122.59141
1.910169167,16018.71807
1.919638917,16967.80889
1.928908292,17973.16746
1.938016854,19038.21462
1.947004167,20166.37124
1.955908732,21361.20579
1.964764813,22626.87724
1.973605612,23967.69218
1.982464333,25387.95722
1.991369698,26892.1648
2.0003325,28485.55075
2.009359052,30173.53676
2.018455667,31961.54451
2.027624424,33855.22965
2.036850479,35861.18371
2.046114753,37986.23219
2.055398167,40237.20058
2.064680661,42621.20892
2.07393825,45146.55547
2.083145964,47821.833
2.092278833,50655.63431
2.101314917,53656.923
2.110244375,56836.14593
2.119060396,60204.1208
2.127756167,63771.66528
2.136330042,67550.06388
2.144801042,71552.46842
2.153193354,75792.49757
2.161531167,80283.76997
2.169842833,85040.49197
2.178173375,90079.22076
2.186571979,95417.10119
2.195087833,101071.2781
2.203771534,107059.6364
2.212679313,113403.0201
2.22186881,120123.0134
2.231397667,127241.2005
2.241323023,134780.0968
2.251700021,142765.9438
2.262583299,151225.9141
2.2740275,160187.1807
2.286086826,169678.0889
2.298813729,179731.6746
2.312260227,190382.1462
2.326478333,201663.7124
2.341520849,213612.0579
2.357443708,226268.7724
2.37430363,239676.9218
2.392157333,253879.5722
2.410898752,268790.533
2.429770682,283806.5878
2.447853134,298195.2636
2.46422612,311224.0874
2.48009867,323854.8624
2.505195892,343826.4956
2.551371916,380572.1699
2.630480868,443525.0686
2.750535062,539061.1603
2.904179548,661327.5576
3.080217563,801414.1585
3.267452341,950410.8612
4,1533353.766
8,4716452.628
15,10286875.64
50,38138990.68
100,77927726.45
1000,794124970.4
10000,7956097409
